build,computer.platform,computer.touch,date,time,subject,group,sessionid,blockcode,blocknum,trialcode,latency,randStart,startPos,scrfunc,rtvspos,randStart,mag,freq,ev,inc,rng,startPos,fogPos1,fogPos2,chooseUncertainty1,chooseUncertainty2,uncertaintyCount1,uncertaintyCount2,blockCount,ntrials,trialCount,uncertaintyStart1,uncertaintyStart2,uncertainty_block,rt_shifted,totalPoints,totalEarnings,Earnings
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,instructions,1,instructions1,720,1,75,IEV,POS,1,,,,,,75,0,0,0,0,0,0,0,10,0,0,0,0,,0,0,
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,instructions,1,displayGoodJob,631,1,75,IEV,POS,1,,,,,,75,0,0,0,0,0,0,0,10,0,0,0,0,,0,0,
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,instructions,1,feedback2_5,3000,1,75,IEV,POS,1,,,,,,75,0,0,0,0,0,0,0,10,0,0,0,0,,0,0,0
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,instructions,1,instructions3,1153,1,75,IEV,POS,1,,,,,,75,0,0,0,0,0,0,0,10,0,0,0,0,,0,0,0
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,instructions,1,instructions4,1071,1,75,IEV,POS,1,,,,,,75,0,0,0,0,0,0,0,10,0,0,0,0,,0,0,0
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,instructions,1,sampleResponse,3000,1,75,IEV,POS,1,,,,,,75,0,0,0,0,0,0,0,10,0,0,0,0,1071,0,0,0
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,instructions,1,instructions4,2945,1,75,IEV,POS,1,,,,,,75,0,0,0,0,0,0,0,10,0,0,0,0,1071,0,0,0
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,instructions,1,sampleResponse,3000,1,75,IEV,POS,1,,,,,,75,0,0,0,0,0,0,0,10,0,0,0,0,2945,0,0,0
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,instructions,1,instructions5,1301,1,75,IEV,POS,1,,,,,,75,0,0,0,0,0,0,0,10,0,0,0,0,2945,0,0,0
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,instructions,1,countdown,1000,1,75,IEV,POS,1,,,,,,75,0,0,0,0,0,0,0,10,0,0,0,0,2945,0,0,0
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,683,1,87,IEV,POS,1,,,,,,87,5,35,0,0,0,0,1,35,0,12,25,0,2945,0,0,0
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,87,IEV,POS,1,26,0.846012275,22.27152042,26,0.833607205,87,5,35,0,0,0,0,1,35,1,12,25,0,1283,26,2,2
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,430,1,68,IEV,POS,1,,,,,,68,5,35,0,0,0,0,1,35,1,12,25,0,1283,26,2,2
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,68,IEV,POS,1,22,0.899732845,19.51232947,22,0.555667974,68,5,35,0,0,0,0,1,35,2,12,25,0,80,48,3,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,3562,1,94,IEV,POS,1,,,,,,94,5,35,0,0,0,0,1,35,2,12,25,0,80,48,3,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,94,IEV,POS,1,204,0.274703051,56.07293139,1,0.275042226,94,5,35,0,0,0,0,1,35,3,12,25,0,4512,49,4,1
