"build","computer.platform","computer.touch","date","time","subject","group","sessionid","blockcode","blocknum","trialcode","latency","randStart","startPos","scrfunc","rtvspos","randStart","mag","freq","ev","inc","rng","startPos","fogPos1","fogPos2","chooseUncertainty1","chooseUncertainty2","uncertaintyCount1","uncertaintyCount2","blockCount","ntrials","trialCount","uncertaintyStart1","uncertaintyStart2","uncertainty_block","rt_shifted","totalPoints","totalEarnings","Earnings"
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","instructions","1","instructions1","2050","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0",""
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","instructions","1","displayGoodJob","1155","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0",""
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","instructions","1","feedback2_5","3000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","instructions","1","instructions3","874","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","instructions","1","instructions4","2910","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","instructions","1","sampleResponse","3000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2910","0","0","0"
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","instructions","1","instructions5","1377","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2910","0","0","0"
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","instructions","1","countdown","1000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2910","0","0","0"
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","experiment","2","experiment_noU","880","1","83","CEVR","POS","1","","","","","","83","35","10","0","0","0","0","1","36","0","5","27","0","2910","0","0","0"
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","experiment","2","dispFeedback_noU","1000","1","83","CEVR","POS","1","143","0.2579681274900398336","36.9999999999999928946","143","0.4226568223495634213","83","35","10","0","0","0","0","1","36","1","5","27","0","1280","143","10","10"
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","experiment","2","experiment_noU","289","1","79","CEVR","POS","1","","","","","","79","35","10","0","0","0","0","1","36","1","5","27","0","1280","143","10","10"
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","experiment","2","dispFeedback_noU","1000","1","79","CEVR","POS","1","168","0.2228532094303906363","37.445706418860780218","168","0.4355726017233851888","79","35","10","0","0","0","0","1","36","2","5","27","0","489","311","20","10"
"6.6.1","mac","0","2023-02-17","16:38:10","202847853","1","1","experiment","2","experiment_noU","1078","1","59","CEVR","POS","1","","","","","","59","35","10","0","0","0","0","1","36","2","5","27","0","489","311","20","10"
