"build","computer.platform","computer.touch","date","time","subject","group","sessionid","blockcode","blocknum","trialcode","latency","randStart","startPos","scrfunc","rtvspos","randStart","mag","freq","ev","inc","rng","startPos","fogPos1","fogPos2","chooseUncertainty1","chooseUncertainty2","uncertaintyCount1","uncertaintyCount2","blockCount","ntrials","trialCount","uncertaintyStart1","uncertaintyStart2","uncertainty_block","rt_shifted","totalPoints","totalEarnings","Earnings"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","instructions","1","instructions1","24548","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0",""
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","instructions","1","displayGoodJob","2814","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0",""
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","instructions","1","feedback2_5","3000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","instructions","1","instructions3","23666","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","instructions","1","instructions4","2959","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","instructions","1","sampleResponse","3000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2959","0","0","0"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","instructions","1","instructions5","7236","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2959","0","0","0"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","instructions","1","countdown","1000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2959","0","0","0"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_noU","585","1","73","CEVR","POS","1","","","","","","73","35","25","0","0","0","0","1","36","0","5","29","0","2959","0","0","0"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_noU","1000","1","73","CEVR","POS","1","168","0.2226999140154772017","37.4453998280309505731","168","0.7283885173332850238","73","35","25","0","0","0","0","1","36","1","5","29","0","485","168","10","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_noU","1110","1","59","CEVR","POS","1","","","","","","59","35","25","0","0","0","0","1","36","1","5","29","0","485","168","10","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_noU","1000","1","59","CEVR","POS","1","171","0.2161936560934891449","37","171","0.9425456230394880786","59","35","25","0","0","0","0","1","36","2","5","29","0","310","339","20","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_noU","1852","1","46","CEVR","POS","1","","","","","","46","35","25","0","0","0","0","1","36","2","5","29","0","310","339","20","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_noU","1000","1","46","CEVR","POS","1","165","0.2195659545608680818","36.1217361817565247861","165","0.3584917083751623657","46","35","25","0","0","0","0","1","36","3","5","29","0","402","504","30","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_noU","2517","1","33","CEVR","POS","1","","","","","","33","35","25","0","0","0","0","1","36","3","5","29","0","402","504","30","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_noU","1000","1","33","CEVR","POS","1","169","0.2201257861635220192","37.2201257861635212976","169","0.2670051982316666295","33","35","25","0","0","0","0","1","36","4","5","29","0","417","673","40","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_noU","3981","1","2","CEVR","POS","1","","","","","","2","35","25","0","0","0","0","1","36","4","5","29","0","417","673","40","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_noU","1000","1","2","CEVR","POS","1","170","0.216954263695761429","36.78304573630423846","170","0.7471077411312394556","2","35","25","0","0","0","0","1","36","5","5","29","1","331","843","50","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_U","1287","1","57","CEVR","POS","1","","","","","","57","35","25","0","0","0","0","1","36","5","5","29","1","331","843","50","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_U","1000","1","57","CEVR","POS","1","167","0.219008963301200732","36.5619820733976013116","167","0.3025394911650893248","57","35","25","0","0","1","0","1","36","6","5","29","1","387","1010","60","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_U","801","1","69","CEVR","POS","1","","","","","","69","35","25","0","0","1","0","1","36","6","5","29","1","387","1010","60","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_U","1000","1","69","CEVR","POS","1","169","0.2233143645456113213","37.669943093636831577","169","0.0534749978812120372","69","35","25","0","0","2","0","1","36","7","5","29","1","501","1179","70","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_U","661","1","72","CEVR","POS","1","","","","","","72","35","25","0","0","2","0","1","36","7","5","29","1","501","1179","70","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_U","1000","1","72","CEVR","POS","1","169","0.2237001209189842799","37.8948004836759295699","169","0.1336623090630542354","72","35","25","0","0","3","0","1","36","8","5","29","1","511","1348","80","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_U","2707","1","33","CEVR","POS","1","","","","","","33","35","25","0","0","3","0","1","36","8","5","29","1","511","1348","80","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_U","1000","1","33","CEVR","POS","1","165","0.2274723344458106367","37.4549446688916205517","165","0.6774154421122314806","33","35","25","0","0","4","0","1","36","9","5","29","1","607","1513","90","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_U","4084","1","2","CEVR","POS","1","","","","","","2","35","25","0","0","4","0","1","36","9","5","29","1","607","1513","90","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_U","1000","1","2","CEVR","POS","1","164","0.2207637231503579989","36.1169451073985641187","164","0.2671756614621672021","2","35","25","0","0","5","0","1","36","10","5","29","1","434","1677","100","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_U","3467","1","16","CEVR","POS","1","","","","","","16","35","25","0","0","5","0","1","36","10","5","29","1","434","1677","100","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_U","1000","1","16","CEVR","POS","1","167","0.2239322151132630279","37.4478644302265308852","167","0.6494619491625255314","16","35","25","0","0","6","0","1","36","11","5","29","1","517","1844","110","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_U","3139","1","25","CEVR","POS","1","","","","","","25","35","25","0","0","6","0","1","36","11","5","29","1","517","1844","110","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_U","1000","1","25","CEVR","POS","1","166","0.2287581699346405151","37.9150326797385588407","166","0.4772064430818908076","25","35","25","0","0","7","0","1","36","12","5","29","1","639","2010","120","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_U","1459","1","57","CEVR","POS","1","","","","","","57","35","25","0","0","7","0","1","36","12","5","29","1","639","2010","120","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_U","1000","1","57","CEVR","POS","1","167","0.2255704581083435023","37.6767113743250376956","167","0.4854581773945731427","57","35","25","0","0","8","0","1","36","13","5","29","1","559","2177","130","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","experiment_U","5986","1","70","CEVR","POS","1","","","","","","70","35","25","0","0","8","0","1","36","13","5","29","1","559","2177","130","10"
"6.6.1","mac","0","2023-02-23","18:09:07","420494935","1","1","experiment","2","dispFeedback_U","1000","1","70","CEVR","POS","1","158","0.232746225736879947","36.7672537742631178048","158","0.167279007185082651","70","35","25","0","0","9","0","1","36","14","5","29","1","736","2335","140","10"
