"build","computer.platform","computer.touch","date","time","subject","group","sessionid","blockcode","blocknum","trialcode","latency","randStart","startPos","scrfunc","rtvspos","randStart","mag","freq","ev","inc","rng","startPos","fogPos1","fogPos2","chooseUncertainty1","chooseUncertainty2","uncertaintyCount1","uncertaintyCount2","blockCount","ntrials","trialCount","uncertaintyStart1","uncertaintyStart2","uncertainty_block","rt_shifted","totalPoints","totalEarnings","Earnings"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","instructions","1","instructions1","87350","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0",""
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","instructions","1","displayGoodJob","4071","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0",""
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","instructions","1","feedback2_5","3000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","instructions","1","instructions3","3198","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","instructions","1","instructions4","2818","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","instructions","1","sampleResponse","3000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2818","0","0","0"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","instructions","1","instructions5","1148","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2818","0","0","0"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","instructions","1","countdown","1000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2818","0","0","0"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","experiment_noU","1557","1","24","CEVR","POS","1","","","","","","24","30","35","0","0","0","0","1","33","0","5","31","0","2818","0","0","0"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","dispFeedback_noU","1000","1","24","CEVR","POS","1","70","0.5647623201046664265","39.2590492804186723674","70","0.8202075189492217255","24","30","35","0","0","0","0","1","33","1","5","31","0","4007","70","5","5"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","experiment_noU","1356","1","97","CEVR","POS","1","","","","","","97","30","35","0","0","0","0","1","33","1","5","31","0","4007","70","5","5"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","dispFeedback_noU","1000","1","97","CEVR","POS","1","107","0.3368886576482830741","35.9893340270551576054","107","0.5160757146114659522","97","30","35","0","0","0","0","1","33","2","5","31","0","2456","177","13","8"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","experiment_noU","639","1","61","CEVR","POS","1","","","","","","61","30","35","0","0","0","0","1","33","2","5","31","0","2456","177","13","8"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","dispFeedback_noU","1000","1","61","CEVR","POS","1","40","0.9515062454077883869","37.9515062454077849452","40","0.1678317105788345587","61","30","35","0","0","0","0","1","33","3","5","31","0","4939","217","16","3"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","experiment_noU","1663","1","19","CEVR","POS","1","","","","","","19","30","35","0","0","0","0","1","33","3","5","31","0","4939","217","16","3"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","dispFeedback_noU","1000","1","19","CEVR","POS","1","70","0.5313910545752975612","37.0000000000000071054","70","0.9125157543254354131","19","30","35","0","0","0","0","1","33","4","5","31","0","3863","287","21","5"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","experiment_noU","2600","1","48","CEVR","POS","1","","","","","","48","30","35","0","0","0","0","1","33","4","5","31","0","3863","287","21","5"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","dispFeedback_noU","1000","1","48","CEVR","POS","1","143","0.2564356435643564414","36.7435643564356411161","143","0.8514264551576754547","48","30","35","0","0","0","0","1","33","5","5","31","1","1250","430","31","10"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","experiment_U","3243","1","35","CEVR","POS","1","","","","","","35","30","35","0","0","0","0","1","33","5","5","31","1","1250","430","31","10"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","dispFeedback_U","1000","1","35","CEVR","POS","1","146","0.2560806802452046949","37.5121613604904169392","1","0.2997315887593970385","35","30","35","0","0","1","0","1","33","6","5","31","1","1243","431","32","1"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","experiment_U","3987","1","17","CEVR","POS","1","","","","","","17","30","35","0","0","1","0","1","33","6","5","31","1","1243","431","32","1"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","dispFeedback_U","1000","1","17","CEVR","POS","1","144","0.2484174179934778293","35.7579129100326014168","1","0.6873086841514587375","17","30","35","0","0","2","0","1","33","7","5","31","1","1087","432","33","1"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","experiment_U","2839","1","47","CEVR","POS","1","","","","","","47","30","35","0","0","2","0","1","33","7","5","31","1","1087","432","33","1"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","dispFeedback_U","1000","1","47","CEVR","POS","1","140","0.2664060892820407367","37.2664060892820359072","1","0.4274710976582651867","47","30","35","0","0","3","0","1","33","8","5","31","1","1439","433","34","1"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","experiment_U","3000","1","27","CEVR","POS","1","","","","","","27","30","35","0","0","3","0","1","33","8","5","31","1","1439","433","34","1"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","dispFeedback_U","1000","1","27","CEVR","POS","1","164","0.2271929824561403355","37.2271929824561382816","1","0.9541537747611649189","27","30","35","0","0","4","0","1","33","9","5","31","1","600","434","35","1"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","experiment_U","4772","1","32","CEVR","POS","1","","","","","","32","30","35","0","0","4","0","1","33","9","5","31","1","600","434","35","1"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","dispFeedback_U","1000","1","32","CEVR","POS","1","105","0.3520935290918977278","36.9999999999999928946","1","0.9757074038441543307","32","30","35","0","0","5","0","1","33","10","5","31","1","2622","435","36","1"
"6.6.1","mac","0","2023-02-27","17:52:46","296142977","1","1","experiment","2","experiment_U","907","1","33","CEVR","POS","1","","","","","","33","30","35","0","0","5","0","1","33","10","5","31","1","2622","435","36","1"
