"build","computer.platform","computer.touch","date","time","subject","group","sessionid","blockcode","blocknum","trialcode","latency","randStart","startPos","scrfunc","rtvspos","randStart","mag","freq","ev","inc","rng","startPos","fogPos1","fogPos2","chooseUncertainty1","chooseUncertainty2","uncertaintyCount1","uncertaintyCount2","blockCount","ntrials","trialCount","uncertaintyStart1","uncertaintyStart2","uncertainty_block","rt_shifted","totalPoints","totalEarnings","Earnings"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","instructions","1","instructions1","11702","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0",""
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","instructions","1","displayGoodJob","1321","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0",""
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","instructions","1","feedback2_5","3000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","instructions","1","instructions3","2972","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","instructions","1","instructions4","2928","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","","0","0","0"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","instructions","1","sampleResponse","3000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2928","0","0","0"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","instructions","1","instructions5","1981","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2928","0","0","0"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","instructions","1","countdown","1000","1","75","IEV","POS","1","","","","","","75","0","0","0","0","0","0","0","10","0","0","0","0","2928","0","0","0"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_noU","2666","1","6","CEVR","POS","1","","","","","","6","1","50","0","0","0","0","1","40","0","8","30","0","2928","0","0","0"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","dispFeedback_noU","1000","1","6","CEVR","POS","1","60","0.6214011516314779104","37","60","0.9381157453027823001","6","1","50","0","0","0","0","1","40","1","8","30","0","4216","60","4","4"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_noU","3784","1","48","CEVR","POS","1","","","","","","48","1","50","0","0","0","0","1","40","1","8","30","0","4216","60","4","4"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","dispFeedback_noU","1000","1","48","CEVR","POS","1","106","0.3349715468184170097","35.660113812726336846","106","0.3567029352664721764","48","1","50","0","0","0","0","1","40","2","8","30","0","2434","166","12","8"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_noU","1825","1","64","CEVR","POS","1","","","","","","64","1","50","0","0","0","0","1","40","2","8","30","0","2434","166","12","8"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","dispFeedback_noU","1000","1","64","CEVR","POS","1","142","0.2577114427860696666","36.4845771144278643305","142","0.1510988574361193104","64","1","50","0","0","0","0","1","40","3","8","30","0","1275","308","22","10"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_noU","3064","1","91","CEVR","POS","1","","","","","","91","1","50","0","0","0","0","1","40","3","8","30","0","1275","308","22","10"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","dispFeedback_noU","1000","1","91","CEVR","POS","1","72","0.5316091954022987842","38.0632183908045931275","72","0.5980440330687081252","91","1","50","0","0","0","0","1","40","4","8","30","0","3864","380","27","5"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_noU","3064","1","40","CEVR","POS","1","","","","","","40","1","50","0","0","0","0","1","40","4","8","30","0","3864","380","27","5"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","dispFeedback_noU","1000","1","40","CEVR","POS","1","143","0.2597272362615322683","37.259727236261525718","143","0.0502801041701529394","40","1","50","0","0","0","0","1","40","5","8","30","0","1314","523","37","10"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_noU","2363","1","54","CEVR","POS","1","","","","","","54","1","50","0","0","0","0","1","40","5","8","30","0","1314","523","37","10"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","dispFeedback_noU","1000","1","54","CEVR","POS","1","139","0.2596751554040505061","36.2209745337878459281","139","0.8231839511597491832","54","1","50","0","0","0","0","1","40","6","8","30","0","1313","662","47","10"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_noU","6500","1","97","CEVR","POS","1","","","","","","97","1","50","0","0","0","0","1","40","6","8","30","0","1313","662","47","10"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","dispFeedback_noU","1000","1","97","CEVR","POS","1","109","0.3499999999999999778","38.0499999999999971578","109","0.9302207345446154019","97","1","50","0","0","0","0","1","40","7","8","30","0","2600","771","47","0"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_noU","2989","1","37","CEVR","POS","1","","","","","","37","1","50","0","0","0","0","1","40","7","8","30","0","2600","771","47","0"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","dispFeedback_noU","1000","1","37","CEVR","POS","1","146","0.248512761466129356","36.2544617156016144577","146","0.0859298811028548215","37","1","50","0","0","0","0","1","40","8","8","30","1","1089","917","57","10"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_U","2080","1","34","CEVR","POS","1","","","","","","34","1","50","0","0","0","0","1","40","8","8","30","1","1089","917","57","10"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","dispFeedback_U","1000","1","34","CEVR","POS","1","174","0.2065390749601276055","35.9673046251993611122","1","0.2798075008391885943","34","1","50","1","0","1","0","1","40","9","8","30","1","30","918","58","1"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_U","2294","1","29","CEVR","POS","1","","","","","","29","1","50","1","0","1","0","1","40","9","8","30","1","30","918","58","1"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","dispFeedback_U","1000","1","29","CEVR","POS","1","35","0.9915773353751913266","35.0168453292496266727","35","0.9032135922236399495","29","1","50","2","0","2","0","1","40","10","8","30","1","4994","953","61","3"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_U","1504","1","96","CEVR","POS","1","","","","","","96","1","50","2","0","2","0","1","40","10","8","30","1","4994","953","61","3"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","dispFeedback_U","1000","1","96","CEVR","POS","1","108","0.3457020822210357114","37.3457020822210310484","1","0.5582460152353733163","96","1","50","2","0","3","0","1","40","11","8","30","1","2554","954","62","1"
"6.6.1","mac","0","2023-02-28","13:00:17","780600946","1","1","experiment","2","experiment_U","1681","1","66","CEVR","POS","1","","","","","","66","1","50","2","0","3","0","1","40","11","8","30","1","2554","954","62","1"
